,State,Total Cases,Active Cases,Total Deaths,Total State Area in km^2,Population density(/km^2),Sex Ratio,Total Population,Urban Population,Rural Population,Percentage Of Total Indian Population(%),Rural Percentage(%),Urban Percentage(%),NSDP Per Capita 2017-18 (₹),NSDP Per Capita 2018-19 (₹),NSDP per capita PPP (US$)
0,Andhra Pradesh,1887,1004,41,"162,968",303,993,49577103,34966693,14610410,4.08,70.53,29.47,"1,39,680",151173,"8,261"
1,Arunachal Pradesh,1,0,0,"83,743",17,938,1383727,1066358,317369,0.11,77.06,22.94,"1,30,197",139588,"7,628"
2,Assam,59,24,1,"78,438",397,954,31205576,26807034,4398542,2.58,85.9,14.1,"74,184",82078,"4,485"
3,Bihar,571,269,5,"94,163","1,102",918,104099452,92341436,11758016,8.6,88.71,11.29,"38,631",43822,"2,395"
4,Chandigarh,150,128,1,114,"9,252",818,1055450,28991,1026459,0.09,2.75,97.25,"2,96,434",329209,"17,990"
5,Chhattisgarh,59,21,0,"135,191",189,991,25545198,19607961,5937237,2.11,76.76,23.24,"89,813",96887,"5,294"
6,Delhi,6318,4230,68,"1,484","11,297",868,16787941,419042,16368899,1.39,2.5,97.5,"3,28,985",365529,"19,974"
7,Goa,7,0,0,"3,702",394,973,1458545,551731,906814,0.12,37.83,62.17,"4,22,155",458304,"25,044"
8,Gujarat,7402,5081,449,"196,024",308,919,60439692,34694609,25745083,4.99,57.4,42.6,"1,73,079",197447,"10,789"
9,Haryana,647,360,8,"44,212",573,879,25351462,16509359,8842103,2.09,65.12,34.88,"2,11,526",236147,"12,904"
10,Himachal Pradesh,50,10,2,"55,673",123,972,6864602,6176050,688552,0.57,89.97,10.03,"1,67,044",179188,"9,792"
11,Jammu and Kashmir,823,450,9,"125,535",98,890,12267032,9064220,3202812,1.01,73.89,26.11,"82,710",91882,"5,021"
12,Jharkhand,132,77,3,"79,714",414,948,32988134,25055073,7933061,2.73,75.95,24.05,"69,265",76019,"4,154"
13,Karnataka,753,347,30,"191,791",319,973,61095297,37469335,23625962,5.05,61.33,38.67,"1,87,649",210887,"11,524"
14,Kerala,503,15,4,"38,863",859,"1,084",33406061,17471135,15934926,2.76,52.3,47.7,"1,83,435",204105,"11,153"
15,Manipur,2,0,0,"22,327",122,992,2570390,1793875,776515,0.21,69.79,30.21,"65,008",69978,"3,824"
16,Meghalaya,12,1,1,"22,429",132,989,2966889,2371439,595450,0.25,79.93,20.07,"81,098",89024,"4,865"
17,Mizoram,1,1,0,"21,081",52,976,1097206,525435,571771,0.09,47.89,52.11,"1,46,765",168626,"9,215"
18,Madhya Pradesh,3341,1792,200,"308,245",236,931,72626809,52557404,20069405,6.0,72.37,27.63,"82,941",90998,"4,973"
19,Odisha,271,206,2,"155,707",269,979,41974219,34970562,7003656,3.47,83.31,16.69,"84,496",95164,"5,200"
20,Puducherry,9,3,0,479,"2,598","1,037",1247953,395200,852753,0.1,31.67,68.33,"2,03,583",220461,"12,047"
21,Punjab,1731,1550,29,"50,362",550,895,27743338,17344192,10399146,2.29,62.52,37.48,"1,42,477",154996,"8,470"
22,Rajasthan,3579,1562,101,"342,239",201,928,68548437,51500352,17048085,5.66,75.13,24.87,"99,366",110606,"6,044"
23,Tamil Nadu,6009,4364,40,"130,058",555,996,72147030,37229590,34917440,5.96,51.6,48.4,"1,71,583",193750,"10,587"
24,Tripura,118,116,0,"10,486",350,960,3673917,2712464,961453,0.3,73.83,26.17,"1,00,477",113102,"6,180"
25,Uttar Pradesh,3214,1761,66,"240,928",828,912,199812342,155317278,44495063,16.51,77.73,22.27,"58,821",66512,"3,635"
26,Uttarakhand,63,16,1,"53,483",189,963,10086292,7036954,3049338,0.83,69.77,30.23,"1,82,320",198738,"10,860"
27,West Bengal,1678,1154,160,"88,752","1,029",953,91276115,62183113,29093002,7.54,68.13,31.87,"93,711",109491,"5,983"
